,m,P,r,l,T,ρ,ε,κ,∇_ad,∇,nature
51,1.3559182934246977e+32,1.2724320113302795e+17,7704950939.793495,2.845090501242873e+33,14337617.675237779,65.63014665789991,14.507654067717692,1.492518155444538,0.4,0.37192817663588185,radiative
52,1.3825049265772336e+32,1.2670188206281618e+17,7758960034.927985,2.883474119085139e+33,14314939.760706324,65.45458552577212,14.357686520207617,1.4953748257116823,0.4,0.37117155804778007,radiative
53,1.4090915597297694e+32,1.2616532170357837e+17,7812350671.177063,2.921457739206665e+33,14292443.05981881,65.28009947307251,14.210503312391761,1.4982167319944308,0.4,0.3704242772424193,radiative
54,1.4356781928823052e+32,1.2563342118799787e+17,7865142793.101822,2.959048500745673e+33,14270122.949296445,65.10667016136237,14.066012214121368,1.5010443501455604,0.4,0.3696860972688855,radiative
55,1.462264826034841e+32,1.2510608272380627e+17,7917355755.492843,2.9962534038233866e+33,14247974.91672921,64.93427888206693,13.924124885660982,1.5038581435115523,0.4,0.3689568050997251,radiative
56,1.4888514591873769e+32,1.2458320959378346e+17,7969008323.370191,3.0330793095440186e+33,14225994.560575858,64.76290656602525,13.784756685105558,1.5066585623992745,0.4,0.36823620780078686,radiative
57,1.5154380923399127e+32,1.2406470615575754e+17,8020118671.983417,3.069532939994783e+33,14204177.590163913,64.59253379295245,13.647826487414935,1.5094460435492056,0.4,0.367524129105941,radiative
58,1.5420247254924486e+32,1.2355047784260491e+17,8070704386.811557,3.1056208782458856e+33,14182519.825689668,64.4231408008132,13.513256514272292,1.5122210096149173,0.4,0.36682040634814933,radiative
59,1.5686113586449844e+32,1.2304043116225027e+17,8120782463.563134,3.141349568350532e+33,14161017.198218185,64.25470749510427,13.380972174032674,1.5149838686485642,0.4,0.3661248877048877,radiative
60,1.5951979917975203e+32,1.2253447369766656e+17,8170369308.176155,3.17672531534492e+33,14139665.749683304,64.08721345804526,13.250901911081392,1.5177350135920629,0.4,0.36543742972143933,radiative
61,1.6217846249500561e+32,1.2203251410687498e+17,8219480736.818113,3.211754285248245e+33,14118461.632887626,63.92063795767669,13.122977063971845,1.520474821773739,0.4,0.3647578950803364,radiative
62,1.648371258102592e+32,1.2153446212294501e+17,8268131975.885986,3.246442505062699e+33,14097401.11150253,63.754959956864916,12.997131731757776,1.5232036544101049,0.4,0.3640861505892387,radiative
63,1.6749578912551278e+32,1.2104022855399442e+17,8316337662.006238,3.280795862773468e+33,14076480.560068164,63.59015812221367,12.87330264797897,1.5259218561125285,0.4,0.3634220653630382,radiative
64,1.7015445244076638e+32,1.2054972528318918e+17,8364111842.034819,3.314820107348736e+33,14055696.463993443,63.426210832882326,12.75142906179583,1.5286297543984804,0.4,0.36276550917895334,radiative
65,1.7281311575601998e+32,1.2006286526874362e+17,8411467973.057161,3.3485208487396806e+33,14035045.41955606,63.26309618931157,12.631452625807025,1.5313276592071192,0.4,0.3621163509859691,radiative
66,1.7547177907127355e+32,1.1957956254392029e+17,8458418922.388188,3.381903557880476e+33,14014524.133902472,63.10079202185723,12.513317290115154,1.5340158624189144,0.4,0.36147445755220786,radiative
67,1.781304423865271e+32,1.1909973221703002e+17,8504976967.572304,3.414973566688293e+33,13994129.42504791,62.93927589933307,12.396969202238232,1.5366946373790453,0.4,0.3608396922357488,radiative
